"","county_name","sum_aapi_pop","sum_black_pop","sum_latinx_pop","sum_native_pop","sum_white_pop","total_pop"
"1","Abbeville County",0,2576.52,1111.01,0,3666.01,7353.54
"2","Acadia Parish",0,1465.1,2073.81,0,3497.81,7036.72
"3","Accomack County",30.15,3086.5,1451.5,0,4338.5,8906.65
"4","Ada County",205.22,2152.53,803.36,228.73,803.36,4193.2
"5","Adair County",0,438.64,459.26,1216.23,751.26,2865.39
"6","Adams County",617.29,27721,24527.42,1097.58,22731.42,76694.71
"7","Addison County",0,0,0,0,0,0
"8","Aiken County",9.14,12002,4913,20.13,16641,33585.27
"9","Aitkin County",25.55,18.74,104.93,421.5,104.93,675.65
"10","Alachua County",76.2,22095.15,17158.19,39.81,38269.19,77638.54
"11","Alamance County",26.4,7946.35,4582.88,86.2,11002.88,23644.71
"12","Alameda County",5107.48,116697.73,80499.81,2354.04,157328.81,361987.87
"13","Alamosa County",0,649.89,1148.92,8,65.92,1872.73
"14","Albany County",293.76,26306.21,16526.85,268.04,36822.85,80217.71
"15","Albemarle County",25.48,2439.89,5984.24,19.27,8232.24,16701.12
"16","Alcona County",82.98,40.78,78.8,13.67,86.8,303.03
"17","Alcorn County",0,1155.19,1189.23,0,2276.23,4620.65
"18","Aleutians East Borough",19,0,9.5,0,9.5,38
"19","Aleutians West Census Area",0,0,0,0,0,0
"20","Alexander County",212.27,1902.2,428.16,9.5,1704.16,4256.29
"21","Alexandria city",303.94,11589.32,9309.16,50.12,18368.16,39620.7
"22","Alfalfa County",0,1,25.64,27.2,25.64,79.48
"23","Alger County",0,10,50.84,19,60.84,140.68
"24","Allamakee County",0,42.5,4,0,0,46.5
"25","Allegan County",5,1433.58,820.99,88.48,1927.99,4276.04
"26","Allegany County",75.51,1773.47,1344.55,1,2674.55,5869.08
"27","Alleghany County",9.33,666.31,585.05,0,1049.05,2309.74
"28","Allegheny County",265.02,82379.7,46447.21,210.28,127332.21,256634.42
"29","Allen County",201.26,16579.21,16367.86,86.87,30303.86,63539.06
"30","Allen Parish",0,471.7,610.19,0,1002.19,2084.08
"31","Allendale County",0,1038.1,843,0,1872,3753.1
"32","Alpena County",31.82,81.75,123.53,3,174.53,414.63
"33","Alpine County",0,0,0,0,0,0
"34","Amador County",94.11,574.5,851,146.39,415,2081
"35","Amelia County",55.93,868.65,1295.5,8.72,1904.5,4133.3
"36","Amherst County",17.71,1206.42,1394.73,3.02,2573.73,5195.61
"37","Amite County",0,697,551.5,0,1248.5,2497
"38","Anchorage Municipality",0,0,0,0,0,0
"39","Anderson County",38.41,17660.22,9415.51,14.51,24619.51,51748.16
"40","Andrew County",0,29.07,0,0,6,35.07
"41","Andrews County",13.86,736,1234.5,0,322.5,2306.86
"42","Androscoggin County",31.34,442,476.97,0,760.97,1711.28
"43","Angelina County",3,6727.08,3441,9,7945,18125.08
"44","Anne Arundel County",62.14,17406.98,11572.09,25.38,28483.09,57549.68
"45","Anoka County",302.69,3210.49,2156.82,578.91,3335.82,9584.73
"46","Anson County",0,1530.71,1100.5,18.99,2618.5,5268.7
"47","Antelope County",0,45.64,0,60.25,0,105.89
"48","Antrim County",0,20.69,23.5,27.7,23.5,95.39
"49","Apache County",19,851.5,534.52,768,131.52,2304.54
"50","Appanoose County",0,0,0,0,0,0
"51","Appling County",0,883,901,0,1752,3536
"52","Appomattox County",0.8,669.95,609.01,1.4,1271.01,2552.17
"53","Aransas County",0,2271.52,1690.05,0,467.05,4428.62
"54","Arapahoe County",1107.96,22750.87,17742.38,953.07,29991.38,72545.66
"55","Archer County",0,33.55,24.78,0,20.78,79.11
"56","Archuleta County",0,118.38,48,9.5,0,175.88
"57","Arenac County",0,9.5,85.5,45.26,85.5,225.76
"58","Arkansas County",0,39,1090.5,0,1090.5,2220
"59","Arlington County",258.4,14267.01,9371.68,6.64,21500.68,45404.41
"60","Armstrong County",0,177.4,317.31,0,417.31,912.02
"61","Aroostook County",0,37.5,50.37,143.76,71.37,303
"62","Arthur County",0,0,0,0,0,0
"63","Ascension Parish",11.19,1426.02,4739.5,4.9,6104.5,12286.11
"64","Ashe County",0,171,421.19,0,364.19,956.38
"65","Ashland County",0,188.6,278.5,840,379.5,1686.6
"66","Ashley County",0,38,1005.69,0,1005.69,2049.38
"67","Ashtabula County",33.8,760.62,723.73,31.8,1232.73,2782.68
"68","Asotin County",1.93,49.15,84.12,85.42,76.12,296.74
"69","Assumption Parish",0,385,1579.7,0,1945.7,3910.4
"70","Atascosa County",0,2479.42,3600.82,9,119.82,6209.06
"71","Atchison County",0,49.6,277.75,14.12,271.75,613.22
"72","Athens County",4.65,158.25,98.73,3.81,251.73,517.17
"73","Atkinson County",0,374.5,91,0,397,862.5
"74","Atlantic County",459.51,39992.14,23519.41,37.65,51457.41,115466.12
"75","Atoka County",0,590,196.03,332.61,642.03,1760.67
"76","Attala County",0,1286,507.32,0,1793.32,3586.64
