"","county_name","urbanicity","sum_aapi_pop","sum_black_pop","sum_latinx_pop","sum_native_pop","sum_white_pop","total_pop"
"1","Abbeville County","rural",0,2576.52,1111.01,0,3666.01,7353.54
"2","Acadia Parish","small/mid",0,1465.1,2073.81,0,3497.81,7036.72
"3","Accomack County","rural",30.15,3086.5,1451.5,0,4338.5,8906.65
"4","Ada County","small/mid",205.22,2152.53,803.36,228.73,803.36,4193.2
"5","Adair County","rural",0,438.64,459.26,1216.23,751.26,2865.39
"6","Adams County","rural",88.66,6371.82,3744.52,139.32,8478.52,18822.84
"7","Adams County","small/mid",29.35,1603.5,1283.5,24.29,1950.5,4891.14
"8","Adams County","suburban",499.28,19745.68,19499.4,933.97,12302.4,52980.73
"9","Addison County","rural",0,0,0,0,0,0
"10","Aiken County","small/mid",9.14,12002,4913,20.13,16641,33585.27
"11","Aitkin County","rural",25.55,18.74,104.93,421.5,104.93,675.65
"12","Alachua County","small/mid",76.2,22095.15,17158.19,39.81,38269.19,77638.54
"13","Alamance County","small/mid",26.4,7946.35,4582.88,86.2,11002.88,23644.71
"14","Alameda County","urban",5107.48,116697.73,80499.81,2354.04,157328.81,361987.87
"15","Alamosa County","rural",0,649.89,1148.92,8,65.92,1872.73
"16","Albany County","rural",20.46,283.28,281.36,67.18,174.36,826.64
"17","Albany County","small/mid",273.3,26022.93,16245.49,200.86,36648.49,79391.07
"18","Albemarle County","small/mid",25.48,2439.89,5984.24,19.27,8232.24,16701.12
"19","Alcona County","rural",82.98,40.78,78.8,13.67,86.8,303.03
"20","Alcorn County","rural",0,1155.19,1189.23,0,2276.23,4620.65
"21","Aleutians East Borough","rural",19,0,9.5,0,9.5,38
"22","Aleutians West Census Area","rural",0,0,0,0,0,0
"23","Alexander County","small/mid",212.27,1902.2,428.16,9.5,1704.16,4256.29
"24","Alexandria city","urban",303.94,11589.32,9309.16,50.12,18368.16,39620.7
"25","Alfalfa County","rural",0,1,25.64,27.2,25.64,79.48
"26","Alger County","rural",0,10,50.84,19,60.84,140.68
"27","Allamakee County","rural",0,42.5,4,0,0,46.5
"28","Allegan County","rural",5,1433.58,820.99,88.48,1927.99,4276.04
"29","Allegany County","rural",28.5,162.29,308.15,1,318.15,818.09
"30","Allegany County","small/mid",47.01,1611.18,1036.4,0,2356.4,5050.99
"31","Alleghany County","rural",9.33,666.31,585.05,0,1049.05,2309.74
"32","Allegheny County","urban",265.02,82379.7,46447.21,210.28,127332.21,256634.42
"33","Allen County","rural",0,44.5,48.22,0,48.22,140.94
"34","Allen County","small/mid",201.26,16534.71,16319.64,86.87,30255.64,63398.12
"35","Allen Parish","rural",0,471.7,610.19,0,1002.19,2084.08
"36","Allendale County","rural",0,1038.1,843,0,1872,3753.1
"37","Alpena County","rural",31.82,81.75,123.53,3,174.53,414.63
"38","Alpine County","rural",0,0,0,0,0,0
"39","Amador County","rural",94.11,574.5,851,146.39,415,2081
"40","Amelia County","suburban",55.93,868.65,1295.5,8.72,1904.5,4133.3
"41","Amherst County","small/mid",17.71,1206.42,1394.73,3.02,2573.73,5195.61
"42","Amite County","rural",0,697,551.5,0,1248.5,2497
"43","Anchorage Municipality","small/mid",0,0,0,0,0,0
"44","Anderson County","rural",16.67,4204.61,3112.82,8.51,5642.82,12985.43
"45","Anderson County","small/mid",21.74,13455.61,6302.69,6,18976.69,38762.73
"46","Andrew County","small/mid",0,29.07,0,0,6,35.07
"47","Andrews County","rural",13.86,736,1234.5,0,322.5,2306.86
"48","Androscoggin County","small/mid",31.34,442,476.97,0,760.97,1711.28
"49","Angelina County","rural",3,6727.08,3441,9,7945,18125.08
"50","Anne Arundel County","suburban",62.14,17406.98,11572.09,25.38,28483.09,57549.68
"51","Anoka County","suburban",302.69,3210.49,2156.82,578.91,3335.82,9584.73
"52","Anson County","rural",0,1530.71,1100.5,18.99,2618.5,5268.7
"53","Antelope County","rural",0,45.64,0,60.25,0,105.89
"54","Antrim County","rural",0,20.69,23.5,27.7,23.5,95.39
"55","Apache County","rural",19,851.5,534.52,768,131.52,2304.54
"56","Appanoose County","rural",0,0,0,0,0,0
"57","Appling County","rural",0,883,901,0,1752,3536
"58","Appomattox County","small/mid",0.8,669.95,609.01,1.4,1271.01,2552.17
"59","Aransas County","small/mid",0,2271.52,1690.05,0,467.05,4428.62
"60","Arapahoe County","suburban",1107.96,22750.87,17742.38,953.07,29991.38,72545.66
"61","Archer County","small/mid",0,33.55,24.78,0,20.78,79.11
"62","Archuleta County","rural",0,118.38,48,9.5,0,175.88
"63","Arenac County","rural",0,9.5,85.5,45.26,85.5,225.76
"64","Arkansas County","rural",0,39,1090.5,0,1090.5,2220
"65","Arlington County","urban",258.4,14267.01,9371.68,6.64,21500.68,45404.41
"66","Armstrong County","small/mid",0,25.37,30.81,0,12.81,68.99
"67","Armstrong County","suburban",0,152.03,286.5,0,404.5,843.03
"68","Aroostook County","rural",0,37.5,50.37,143.76,71.37,303
"69","Arthur County","rural",0,0,0,0,0,0
"70","Ascension Parish","small/mid",11.19,1426.02,4739.5,4.9,6104.5,12286.11
"71","Ashe County","rural",0,171,421.19,0,364.19,956.38
"72","Ashland County","rural",0,188.6,278.5,840,379.5,1686.6
"73","Ashley County","rural",0,38,1005.69,0,1005.69,2049.38
"74","Ashtabula County","rural",33.8,760.62,723.73,31.8,1232.73,2782.68
"75","Asotin County","small/mid",1.93,49.15,84.12,85.42,76.12,296.74
"76","Assumption Parish","rural",0,385,1579.7,0,1945.7,3910.4
"77","Atascosa County","suburban",0,2479.42,3600.82,9,119.82,6209.06
"78","Atchison County","rural",0,49.6,277.75,14.12,271.75,613.22
"79","Athens County","rural",4.65,158.25,98.73,3.81,251.73,517.17
"80","Atkinson County","rural",0,374.5,91,0,397,862.5
"81","Atlantic County","small/mid",459.51,39992.14,23519.41,37.65,51457.41,115466.12
"82","Atoka County","rural",0,590,196.03,332.61,642.03,1760.67
"83","Attala County","rural",0,1286,507.32,0,1793.32,3586.64
"84","Audrain County","rural",0,1377.78,656.15,0,1955.15,3989.08
"85","Audubon County","rural",10.13,0,0,0,0,10.13
"86","Auglaize County","rural",7.99,182,88.04,3.86,235.04,516.93
"87","Augusta County","small/mid",22.95,702.83,1269.71,9.04,1839.71,3844.24
"88","Aurora County","rural",0,0,0,43,0,43
"89","Austin County","suburban",0,958.5,713,0,1162,2833.5
"90","Autauga County","small/mid",0,2970,1498.27,14.88,4435.27,8918.42
"91","Avery County","rural",0,52.89,19.62,0,23.62,96.13
"92","Avoyelles Parish","rural",96.4,4183.67,16448.03,25.6,18139.03,38892.73
"93","Baca County","rural",0,66.2,0,0,0,66.2
"94","Bacon County","rural",0,453.19,688.68,0,1114.68,2256.55
"95","Bailey County","rural",0,722.5,356,0,132,1210.5
"96","Baker County","rural",0,51,31.19,0,31.19,113.38
"97","Baker County","small/mid",0,110,183,0,293,586
"98","Baker County","suburban",11.94,3651.38,1863,0,2921,8447.32
"99","Baldwin County","rural",11.5,7883.5,3514.56,39.04,11345.56,22794.16
"100","Baldwin County","small/mid",50.78,8486.58,5270.5,35.3,13266.5,27109.66
"101","Ballard County","rural",0,144.87,135.78,0,244.78,525.43
"102","Baltimore city","urban",131,253754.01,95584.05,393.64,348231.05,698093.75
"103","Baltimore County","suburban",362.1,47177.68,17863.16,127.48,64321.16,129851.58
"104","Bamberg County","rural",0,2518.93,836.62,0,3320.62,6676.17
"105","Bandera County","suburban",0,314.5,158,0,0,472.5
"106","Banks County","rural",0,307,147.5,0,334.5,789
